Tytuł,Cena,link,Metraż,Dzielnica
URZĄDZONA Nowa kawalerka | Bonarka | balkon,279 000 zł,https://www.otodom.pl/pl/oferta/urzadzona-nowa-kawalerka-bonarka-balkon-ID4xYe6.html,17,Podgórze
"Kraków-ul. Komuny paryskiej-kawalerka-33,5m2-I piętro-garaż",579 550 zł,https://www.otodom.pl/pl/oferta/krakow-ul-komuny-paryskiej-kawalerka-33-5m2-i-pietro-garaz-ID4xwIy.html,"33,50",Dębniki
Przestronne mieszkanie z garażem w cenie!!,1 150 000 zł,https://www.otodom.pl/pl/oferta/przestronne-mieszkanie-z-garazem-w-cenie-ID4xVyW.html,"71,32",Prądnik Biały
2 POKOJOWE 40 mkw na Bunscha na sprzedaż!,710 000 złdo negocjacji,/d/oferta/2-pokojowe-40-mkw-na-bunscha-na-sprzedaz-CID3-ID178B7t.html,40,Dębniki
"Wyjątkowe mieszkanie ok. 75m2, dwa ogródki",890 000 zł,https://www.otodom.pl/pl/oferta/wyjatkowe-mieszkanie-ok-75m2-dwa-ogrodki-ID4ybnK.html,"74,74",Swoszowice
"Piękne, umeblowane 2 pok. mieszkanie | DO WEJŚCIA | KLINY | BORKOWSKA",627 000 zł,https://www.otodom.pl/pl/oferta/piekne-umeblowane-2-pok-mieszkanie-do-wejscia-kliny-borkowska-ID4ybxq.html,"48,35",Dębniki
Sprzedane! Krowodrza Suterena 2 pokoje Wrocławska Wielkotyrnowska,229 000 zł,https://www.otodom.pl/pl/oferta/sprzedane-krowodrza-suterena-2-pokoje-wroclawska-wielkotyrnowska-ID4xtwl.html,27,Krowodrza
4 Pokoje/Do wejścia/Przestronne/Miejsce postojowe,679 000 zł,https://www.otodom.pl/pl/oferta/4-pokoje-do-wejscia-przestronne-miejsce-postojowe-ID4xO11.html,70,Podgórze
3 pokoje + osobna kuchnia | gotowe do wejścia,649 000 zł,https://www.otodom.pl/pl/oferta/3-pokoje-osobna-kuchnia-gotowe-do-wejscia-ID4xENb.html,46,Bieńczyce
Wysokie sufity | Zadbana kamienica | 800 m od rynku,1 650 000 zł,https://www.otodom.pl/pl/oferta/wysokie-sufity-zadbana-kamienica-800-m-od-rynku-ID4yaNv.html,"123,85",Stare Miasto
