Tytuł,Cena,link,Metraż,Dzielnica
Felińskiego 3 pokoje - sprzedaż,770 000 zł,https://www.otodom.pl/pl/oferta/felinskiego-3-pokoje-sprzedaz-ID4yhJH.html,"52,99",Prądnik Czerwony
Nowe mieszkanie z tarasem na dachu,"738 963,50 zł",https://www.otodom.pl/pl/oferta/nowe-mieszkanie-z-tarasem-na-dachu-ID4vGcS.html,"62,15",Bieżanów-Prokocim
Super kawalerka na Śląska 3 w Krakowie!,470 000 zł,https://www.otodom.pl/pl/oferta/super-kawalerka-na-slaska-3-w-krakowie-ID4yizP.html,28,Krowodrza
Sprzedam BEZ PROWIZJI Odnowione Mieszkanie Kraków Oś Oświecenia,738 000 zł,https://www.otodom.pl/pl/oferta/sprzedam-bez-prowizji-odnowione-mieszkanie-krakow-os-oswiecenia-ID4x0tc.html,53,Mistrzejowice
3 Pokoje | Piwnica | Zielona okolica | Bieńczyce,629 000 zł,https://www.otodom.pl/pl/oferta/3-pokoje-piwnica-zielona-okolica-bienczyce-ID4x6JO.html,"54,28",Nowa Huta
Nowoczesne Mieszkanie 2-Pokojowe + Miejsce W Garażu,750 000 zł,https://www.otodom.pl/pl/oferta/nowoczesne-mieszkanie-2-pokojowe-miejsce-w-garazu-ID4yfWj.html,"48,17",Czyżyny
Kawalerka 27m Nowa Huta,329 000 złdo negocjacji,https://www.olx.pl/d/oferta/kawalerka-27m-nowa-huta-CID3-ID17oBrz.html,27,Nowa Huta
"Dwupokojowe, 39m2, Widok, Bronowice bezpośrednio",650 000 złdo negocjacji,https://www.olx.pl/d/oferta/dwupokojowe-39m2-widok-bronowice-bezposrednio-CID3-ID17yNdR.html,39,Bronowice
"TBS KLINY - mieszkanie 5 pokoi, pow. 73 m², po podłodze ok. 95 m²",380 000 zł,https://www.olx.pl/d/oferta/tbs-kliny-mieszkanie-5-pokoi-pow-73-m-po-podlodze-ok-95-m-CID3-ID179ggn.html,95,Dębniki
Gotowe do zamieszkania! 3 pokoje + taras + miejsce w garażu,1 250 000 zł,https://www.otodom.pl/pl/oferta/gotowe-do-zamieszkania-3-pokoje-taras-miejsce-w-garazu-ID4yhXA.html,65,Bronowice
